id,name_ru,brief_ru,kind,subject,target,floor_lo,floor_hi,limit_s,reward_rub,reward_item,reward_count,prereq
pump_1,Бирки вентилей,Три бирки с производства — без них насос не примут.,FETCH,valve_tag,3,0,2,0,120,,0,
pump_2,Манометр для насоса,Манометр целый — не битый. Насос стоит и вода не идёт.,FETCH,manometer,1,-14,2,900,260,sealant_tube,1,pump_1
pump_3,Угорь в трубе,В обратке завёлся угорь. Четыре — и линию можно чистить.,HUNT,TUBE_EEL,4,-26,-14,1200,900,,0,pump_2
medpost_1,Бинты на медпост,Шесть бинтов. Смена кончается — перевязывать нечем.,FETCH,bandage,6,0,2,0,90,,0,
medpost_2,Антибиотик до закрытия,Два антибиотика и быстро — до закрытия медпоста.,FETCH,antibiotic,2,-8,2,600,300,tourniquet,2,medpost_1
medpost_3,Крысоножки в кухонном блоке,Пять крысоножек — и продукты перестанут пропадать.,HUNT,KRYSNOZHKA,5,0,14,900,420,,0,medpost_2
kantselyariya_1,Пустые бланки,Два бланка. Без бланка заявку не примут — без заявки нет смены.,FETCH,blank_form,2,14,30,0,140,,0,
kantselyariya_2,Пропавшее дело,Найди личное дело — закроем вопрос без доноса.,FETCH,missing_record_file,1,14,30,1200,700,temp_pass,1,kantselyariya_1
kantselyariya_3,Протокольник в архиве,Три протокольника. Они жрут архив быстрее описи.,HUNT,PROTOKOLNIK,3,23,30,1500,1200,,0,kantselyariya_2
bread_line,Хлеб к раздаче,Десять паек хлеба. Очередь уже стоит.,FETCH,bread,10,0,2,420,110,,0,
sbor_cleanup,Сборки в коридоре,Восемь сборок. Мелочь — но детей не выпустить.,HUNT,SBORKA,8,0,2,300,180,,0,
hermo_leak,Гермопрокладка на люк,Одна прокладка. Течёт — а до аварийной смены час.,FETCH,hermo_gasket,1,-14,2,480,220,,0,
filter_run,Фильтры на смену,Два фильтра противогаза. Наши намокли ещё вчера.,FETCH,gasmask_filter,2,0,14,600,320,filter_layer,1,
dogs_at_the_door,Стая у входа,Четыре зелёные собаки — и можно открывать двери.,HUNT,GREEN_DOG,4,-8,14,480,500,,0,
urgent_morphine,Ампула срочно,Одна ампула морфина. У него минута — не больше.,FETCH,morphine_ampoule,1,-14,-4,90,400,sterile_bandage,2,
eel_pit,Трубные автоматы,Два автомата в цеху. Пока стоят — линию не пустят.,HUNT,TRUBNYY_AVTOMAT,2,-26,-14,900,1100,,0,
psi_supply,ПСИ-стабилизатор,Один стабилизатор из медблока. Без него смена вниз не пойдёт.,FETCH,psi_stabilizer,1,-26,-14,1200,1800,morphine_ampoule,1,
deep_shadow,Глубинные тени,Три тени. Ниже тридцатого они уже не прячутся.,HUNT,GLUBINNAYA_TEN,3,-50,-31,1800,2400,,0,
go_deep,Отчёт с глубины,Дойди до глубины 26 и вернись. Нужен живой отчёт.,DESCEND,,26,0,2,2400,2600,,0,
deep_dive,Пятидесятый,Глубина 50. Дойди и вернись — платим за отчёт а не за геройство.,DESCEND,,50,-26,-14,3600,6000,filter_canister,2,
