match_kind,match,mass_g,note
# ЕДИНАЯ МАССА ПРЕДМЕТОВ — граммы, тот же uint32, что у PropDef и MobDef.
#
# ПОЧЕМУ ОТДЕЛЬНАЯ ТАБЛИЦА, А НЕ КОЛОНКА В items.csv. Предметов 442. Колонка из
# 442 чисел нечитаема и неревьюабельна: понять, почему патрон весит 8 г, а справка
# 20 г, можно только сверив две строки в разных концах файла. Здесь ПРАВИЛО видно
# целиком — «документ весит 20 г» — и 81 бумажка получает его одной строкой.
# Каждый предмет обязан совпасть хотя бы с одним правилом, иначе генератор падает:
# новый предмет без веса не проедет в сборку. Это и есть «у всего есть вес».
#
# ПРИОРИТЕТ: id > tag > prefix > category. Внутри одного вида выигрывает первая
# строка сверху. Генератор печатает разрешённый вес КАЖДОГО предмета в сводке —
# если число выглядит неправдой, его правит одна строка `id` здесь.
#
# НОЛЬ РАЗРЕШЁН и означает «это не физический предмет» (пси-техника — знание, а не
# вещь в рюкзаке). У пропов и мобов ноль запрещён, потому что там он неотличим от
# «колонку не заполнили»; здесь пустых строк не бывает по построению — предмет либо
# совпал с правилом, либо сборка красная.

# --- пси-техники: знание, а не вещь -----------------------------------------
prefix,psi_,0,психотехника занимает слот памяти а не рюкзака — носимого веса не даёт

# --- оружие ближнего боя ------------------------------------------------------
id,knife,250,нож
id,bayonet,300,штык
id,rake_bayonet,900,штык-грабли
id,brass_knuckles,400,кастет
id,rubber_club,700,резиновая дубинка
id,shock_baton,1400,шоковая дубинка
id,hammer,900,молоток
id,wrench,1100,разводной ключ
id,axe,1200,топор
id,entrenching_spade,1500,сапёрная лопата
id,chain,1800,цепь
id,rebar,2000,арматурина
id,liquidator_axe,2000,топор ликвидатора
id,rusty_rake,2200,ржавые грабли
id,liquidator_rake,2400,грабли ликвидатора
id,crowbar,2500,лом
id,fire_hook,3000,багор
id,metal_chair,4500,металлический стул
id,sledgehammer,5000,кувалда
id,chainsaw,6000,бензопила

# --- пистолеты ----------------------------------------------------------------
id,homemade_pistol,700,самопал
id,makarov,730,ПМ
id,zatychkin_pistol,750,Затычкин
id,nagant,800,наган
id,tt_pistol,850,ТТ
id,karkarov_pistol,900,Каркаров

# --- автоматы, винтовки -------------------------------------------------------
id,slyoznev_pps41,3000,ППС-41
id,tanev_svt40,3850,СВТ-40
id,ppsh,3630,ППШ
id,nosin_rifle,4000,винтовка Носина
id,moskvin_rifle,4200,винтовка Москвина
id,ak47,4300,АК
id,eralashnikov_auto,4300,Ералашников
id,losyash_rifle,4500,винтовка Лосяша
id,ptrs_liquidator,20300,ПТРС ликвидатора — противотанковое, носится вдвоём

# --- дробовики ----------------------------------------------------------------
id,toz_shotgun,2800,ТОЗ
id,conscripts_doublebarrel,3100,двустволка призывника
id,shotgun,3200,дробовик
id,chizh3_shotgun,3300,Чиж-3
id,pushkin_shotgun,3400,Пушкин
id,rb91_auto_shotgun,3600,РБ-91 автоматический
id,granit4u_belt_shotgun,5200,Гранит-4У ленточный

# --- пулемёты -----------------------------------------------------------------
id,rpl23_lmg,7500,РПЛ-23 ручной
id,machinegun,9000,пулемёт
id,p41_heavy_mg,10800,П-41 станковый

# --- огнемёты и струйники -----------------------------------------------------
id,brt2_foam_projector,4800,БРТ-2 пеномёт
id,pbrog1_foam_launcher,5500,ПБРОГ-1
id,flamethrower,23000,огнемёт с баллоном
id,roks47_flamethrower,23000,РОКС-47
id,o15_multijet_flamer,24000,О-15 многоструйный
id,ato41_atomic_flamer,26000,АТО-41 атомный

# --- гранатомёты, заряды, гранаты ---------------------------------------------
id,grenade,600,граната
id,foam_grenade_6p10,500,пеногранта 6П10
id,concrete_breaker_grenade,700,бетонолом
id,chest_failsafe_charge,1500,нагрудный самоподрыв
id,breach_charge,2000,подрывной заряд
id,shmk_disposable,3000,ШМК одноразовый
id,pistol_grenade_launcher,1800,пистолетный подствольник
id,g41_grenade_launcher,6300,Г-41
id,party_might_launcher,8000,«Мощь партии»

# --- энергетическое и гравитационное ------------------------------------------
id,agnia_a130,7000,Агния А-130
id,gravity_beam_emitter,9000,гравилуч
id,grn420_gravizhernov,9500,ГРН-420 гравижернов
id,plasma,11000,плазмомёт
id,gauss,12000,гаусс
id,tracked_zhernov,14000,гусеничный жернов
id,bfg,18000,БФГ

# --- прочее стрелковое --------------------------------------------------------
id,nailgun,3500,гвоздомёт
id,harpoon_gun,4200,гарпунное ружьё

# --- броня --------------------------------------------------------------------
id,armor_light,4000,лёгкая броня
id,armor_cultist,6000,броня культиста
id,armor_medium,8000,средняя броня
id,armor_liquidator,11000,броня ликвидатора
id,armor_heavy,14000,тяжёлая броня

# --- боеприпасы: вес ЗА ШТУКУ, они стакаются ----------------------------------
id,ammo_nails,6,гвоздь
id,ammo_9mm,8,патрон 9 мм
id,homemade_9mm,8,самокрут 9 мм
id,ammo_762tt,11,патрон 7.62 ТТ
