id,albedo_file,normal_file,roughness_file,tile_scale,srgb,provider,license,source,src_w,src_h,lin_r,lin_g,lin_b,lum_std,role
box_profile_metal_sheet,box_profile_metal_sheet.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/box_profile_metal_sheet,2048,2048,0.1447,0.0192,0.0087,0.0036,profiled metal sheet for modular equipment casings and trim strips
container_side,container_side.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/container_side,2048,2048,0.1086,0.2483,0.0816,0.0068,shipping-container steel side for larger equipment casings and service bay props
corrugated_iron,corrugated_iron.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/corrugated_iron,2048,2048,0.4019,0.4494,0.4263,0.0287,broad weathered galvanized steel ridges for hull panels and station service cladding
corrugated_iron_02,corrugated_iron_02.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/corrugated_iron_02,2048,2048,0.0994,0.0978,0.0828,0.011,weathered corrugated iron for industrial pressure hull skins and ribbed panels
corrugated_iron_03,corrugated_iron_03.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/corrugated_iron_03,2048,2048,0.1518,0.1823,0.1815,0.0117,narrow galvanized corrugation for compact equipment ribs and small panel strips
factory_wall,factory_wall.ktx2,factory_wall_normal.ktx2,factory_wall_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/factory_wall,2048,2048,0.1238,0.1844,0.0747,0.0365,green corrugated factory metal for diegetic equipment panels
green_metal_rust,green_metal_rust.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/green_metal_rust,2048,2048,0.0498,0.0739,0.0342,0.0076,old painted green industrial metal for aged bulkheads and repaired service modules
metal_grate_rusty,metal_grate_rusty.ktx2,metal_grate_rusty_normal.ktx2,metal_grate_rusty_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/metal_grate_rusty,2048,2048,0.2272,0.0878,0.0323,0.022,"rusted open grate surface for drains, vents, and salvage deck details"
painted_metal_shutter,painted_metal_shutter.ktx2,painted_metal_shutter_normal.ktx2,painted_metal_shutter_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/painted_metal_shutter,2048,2048,0.2157,0.2292,0.2399,0.0345,"painted shutter slats for tool ribs, locker fronts, and modular equipment housings"
rubber_tiles,rubber_tiles.ktx2,rubber_tiles_normal.ktx2,rubber_tiles_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/rubber_tiles,2048,2048,0.0144,0.0151,0.0184,0.0011,"smooth dark waterproof rubber with seams for gaskets, grips, and equipment feet"
rusty_corrugated_iron,rusty_corrugated_iron.ktx2,rusty_corrugated_iron_normal.ktx2,rusty_corrugated_iron_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/rusty_corrugated_iron,2048,2048,0.0986,0.0236,0.0097,0.0171,"oxidized corrugated sheet for wreckage, salvage scrap, and damaged external casings"
rusty_metal_03,rusty_metal_03.ktx2,rusty_metal_03_normal.ktx2,rusty_metal_03_roughness.ktx2,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/rusty_metal_03,2048,2048,0.238,0.0968,0.0076,0.0531,"rich rusted steel for damaged salvage, wreckage, and repair props"
worn_shutter,worn_shutter.ktx2,,,0.5,1,Poly Haven,CC0,https://polyhaven.com/a/worn_shutter,2048,2048,0.0553,0.0467,0.0378,0.0145,"dark corrugated worn metal for ribs, grips, cartridge shells"
