situation,faction,text_ru
AMBIENT,ANY,"Ведро у двери. Значит, очередь скоро."
AMBIENT,ANY,"Талон в рукаве сушится лучше."
AMBIENT,ANY,"Половник стукнул пусто. Плохой звук."
AMBIENT,ANY,"Замок цепляет нижним зубом."
AMBIENT,ANY,"Петля мокрая. Скоро дверь поведёт."
AMBIENT,ANY,"Ключ идёт туго, значит, живой."
AMBIENT,ANY,"Резинку менять до сирены, не после."
AMBIENT,ANY,"Журнал сырой, печать держится."
AMBIENT,ANY,"Фамилию скажи тихо, секретарь пишет."
AMBIENT,ANY,"Чернила кончились раньше терпения."
AMBIENT,ANY,"Фаза скачет. Лампу не трогай."
AMBIENT,ANY,"Провод тёплый, значит, скоро дым."
AMBIENT,ANY,"Щиток гудит ниже нормы."
AMBIENT,ANY,"Искра синяя. Отойди от воды."
AMBIENT,ANY,"Соль не сыпь при всех."
AMBIENT,ANY,"Плита держит огонь через раз."
AMBIENT,ANY,"Ложки вернут до отбоя."
AMBIENT,ANY,"Резец тупой, металл злой."
AMBIENT,ANY,"Стружка синяя. Охлаждай."
AMBIENT,ANY,"Насос кашляет. Воды опять не хватает."
AMBIENT,ANY,"Ремень свистит, но держит."
AMBIENT,ANY,"Масло тёмное. Менять поздно."
AMBIENT,ANY,"Полка пустая не сама."
AMBIENT,ANY,"Тут говорят коротко и ходят быстро."
AMBIENT,CITIZENS,"Очередь у кухни шепчет громче радио."
AMBIENT,CITIZENS,"Ведро у двери пустое. Значит, хозяин рядом."
AMBIENT,CITIZENS,"Пайку режь тоньше, дети слышат нож."
AMBIENT,CITIZENS,"Герма щёлкнула раньше сирены. Плохо."
AMBIENT,CITIZENS,"Лифт опять тёплый. Я пешком не герой."
AMBIENT,CITIZENS,"Чайник свистит ржавым. Сегодня без чая."
AMBIENT,CITIZENS,"У общего шкафа новая царапина."
AMBIENT,CITIZENS,"Дверь держит, пока резинка сухая и целая."
AMBIENT,LIQUIDATORS,"Грабли опять погнуло. Значит, новичок живой или слизь крепкая."
AMBIENT,LIQUIDATORS,"В журнал поражения не пишут усталость. Пишут сектор и время."
AMBIENT,LIQUIDATORS,"Санитар сказал: мокрый фильтр упрямством не сушится."
AMBIENT,LIQUIDATORS,"Сержант молчит — значит, считает патроны или людей. Оба счёта плохие."
AMBIENT,LIQUIDATORS,"Пенобетон схватится быстрее, чем жильцы поймут, что дверь больше не их."
AMBIENT,LIQUIDATORS,"Ведро не ронять. Расплещешь — потом не докажешь, что оно было одно."
AMBIENT,CULTISTS,"Хлеб на батарее не трогай. Его оставили тому, кто вернётся один."
AMBIENT,CULTISTS,"Свеча коптит меньше, если рядом не спорят."
AMBIENT,CULTISTS,"У двери сегодня тихо. Значит, держит."
AMBIENT,CULTISTS,"После отбоя воду раздадим тем, кто не кричал у двери."
AMBIENT,CULTISTS,"Знак у косяка мелкий, зато свои его видят."
AMBIENT,CULTISTS,"Не бойся. Мы просто рядом постоим, пока туман идёт по коридору."
AMBIENT,CULTISTS,"Очередь к батарее короткая, если приходить до сирены."
AMBIENT,CULTISTS,"Кто взял хлеб, тот ещё ничего не обещал. Но у двери видели, кто протянул руку."
AMBIENT,SCIENTISTS,"Датчик щёлкает без образца. Запишем как угрозу."
AMBIENT,SCIENTISTS,"Пробирка мутная. Руки после неё не облизывать."
AMBIENT,SCIENTISTS,"Шум в трубе идёт сериями."
AMBIENT,SCIENTISTS,"Светофильтр позеленел после пробы. Накрой прибор и зови техника."
AMBIENT,SCIENTISTS,"Журнал сырой, но цифры держатся."
AMBIENT,SCIENTISTS,"Контейнер тёплый. Значит, внутри ещё процесс."
AMBIENT,SCIENTISTS,"Завлаб ушёл за комиссией и оставил нас с банкой, которую нельзя открывать."
AMBIENT,SCIENTISTS,"На шкафу новая вмятина изнутри. Приборщик делает вид, что это было."
AMBIENT,SCIENTISTS,"Полевой комплект сухой только снаружи."
AMBIENT,WILD,"Кухня молчит — значит, сторож не спит."
AMBIENT,WILD,"Мешок не развязывай при чужих глазах."
AMBIENT,WILD,"Старое имя оставили в списке. Новое пока не пишу."
AMBIENT,WILD,"Обмен короткий: еда, вода, проход, тишина."
AMBIENT,WILD,"У пустой секции тоже есть свои."
AMBIENT,WILD,"Чужой костёр пахнет тушёнкой, но греет не чужих."
HUNGER,ANY,"Хлеб спрячь. Очередь слышит пакет."
HUNGER,ANY,"Кухня пахнет пустой кастрюлей."
HUNGER,ANY,"Живот урчит так, что у кухни услышат."
HUNGER,ANY,"Пайку дели у батареи, не у окна."
HUNGER,ANY,"Крошки в карман, разговор потом."
HUNGER,ANY,"Суп сегодня видел только половник."
HUNGER,ANY,"Сначала хлеб, потом разговоры."
HUNGER,ANY,"На пустой желудок очередь кажется короче, а драка ближе."
HUNGER,ANY,"Хлеб можно пополам, но очередь пополам не делится."
HUNGER,CITIZENS,"У меня талон на кашу, а кухни нет. Это уже издевательство."
HUNGER,CITIZENS,"Если кухня пустая, я не смелый, я номер в очереди."
HUNGER,LIQUIDATORS,"Смена длинная, паёк короткий. Работаем на злости."
