id,name_ru,name_en,category,value_rub,stack_max,stack_declared,spawn_w_milli,spawn_rooms,spawn_count_max,equip_slot,durability,resist_kinetic,resist_buckshot,resist_energy,resist_fire,resist_psi,science_value,contraband_score,deceptive_score,use_effect,use_a,use_b,use_grant_id,use_grant_n,ammo_id,craft_mechanics,craft_electronics,craft_consumables,craft_bio,craft_chemical,craft_metal,craft_psimatter,craft_metamatter,craft_station,craft_tier,tag_count,tags_hot,tags_all,desc_ru,mass_g,light_radius_mm,light_intensity_e3,light_cone_deg,flicker
acid_bottle,Кислота,Acid,MISC,40,1,,1000,PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,1,0,4,0,0,0,workbench,0,0,,,Промышленная кислота в бутылке без этикетки.,700,0,0,0,none
aerosol_paint_maiden,Аэрозольная краска «цвет девства»,Aerosol paint “color of virginity”,MISC,72,3,3,200,STORAGE|SMOKING|PRODUCTION,1,None,,,,,,,,,,None,,,,,,0,0,4,1,3,0,0,0,workbench,1,6,audit|black_market|contraband|trade,audit|black_market|contraband|mark|paint|trade,"Баллончик с неприлично чистым названием. Купи, спрячь или продай: на стене будет след, в протоколе будет вопрос.",400,0,0,0,none
agnia_a130,А-130 «Агния»,"A-130 ""Agnia""",WEAPON,5500,1,,80,PRODUCTION|HQ,1,Weapon,,,,,,,,,,None,,,,,ammo_fuel,8,2,0,0,15,10,0,0,lathe,2,8,cleanup|liquidator|weapon,cleanup|flame|fuel_clear|liquidator|sanitary|slime_counterplay|technical_cleanup|weapon,"Санитарный коридорный огнемёт. Урон 4x2. Слабее в бою, ровнее выжигает налёт обычным топливом.",7000,0,0,0,none
ak47,Калашников,Kalashnikov,WEAPON,5500,1,,0,,1,Weapon,,,,,,,,,,None,,,,,ammo_762,11,5,0,0,3,16,0,0,lathe,2,5,weapon,ammo_burn|old_world|plot_reward|rifle|weapon,"Старый АК-47 из довоенной оружейки. Урон 26. Точнее уставного автомата, но каждая очередь жжёт редкие 7.62.",4300,0,0,0,none
alcohol_bottle,Спирт,Alcohol,MISC,30,1,,1000,MEDICAL|PRODUCTION,1,None,,,,,,,,,,None,,,,,,0,0,1,0,4,0,0,0,workbench,0,0,,,Технический спирт. Медики смотрят строго.,700,0,0,0,none
alkali_powder,Щёлочная присыпка,Alkaline powder,MISC,28,8,8,700,STORAGE|PRODUCTION,2,None,,,,,,,,,,None,,,,,,0,0,1,2,2,0,0,0,lab,0,5,cleanup|reagent|slime,alkali|brown_slime|cleanup|reagent|slime,"Серый пакет щёлочной пыли для коричневой слизи. Сэкономь бензин: отнеси к акту, печи или продай цеху.",300,0,0,0,none
ammo_12g_chemical,Химический патрон 12 калибра,Chemical cartridge 12 gauge,AMMO,90,6,6,0,,1,None,,,,,,,,,,Unpack,,,decon_fluid,1,,0,0,0,0,2,2,0,0,lab,0,9,ammo|liquidator|nii|reagent,ammo|chemical|decon|issue_stash|liquidator|nii|reagent|shells|special_shell,Запаянный спецпатрон НИИ для зачистки слизи. Обычный дробовик его не подаёт: берегите как боезапас или вскройте в реагент.,45,0,0,0,none
ammo_12g_incendiary,Зажигательная дробь,Incendiary shot,AMMO,48,12,12,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,2,1,0,0,lab,0,13,ammo|cleanup|counterplay|liquidator|slime,12g|ammo|cleanup|counterplay|fire|fuel_input|fungus|incendiary|liquidator|rare_hq|shells|shotgun|slime,Редкие 12 калибра с горючей обмазкой. E: выжечь близкий налёт слизи или грибницы без селектора патронов.,45,0,0,0,none
ammo_12g_slug,Пуля 12 калибра,12 gauge bullet,AMMO,28,12,12,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,1,2,0,0,lathe,0,9,ammo|liquidator,ammo|anti_armor|armory_bench|hq_issue|liquidator|precision|shells|shotgun|slug,"Тяжёлая пуля для точной зачистки. В шкафу она идёт поштучно: украсть из описи, выбить на станке или сберечь до плохого коридора.",45,0,0,0,none
ammo_762,Патроны 7.62,7.62 Rounds,AMMO,18,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,Редкие винтовочные патроны для Калашникова,16,0,0,0,none
ammo_762tt,Патроны 7.62 ТТ,7.62 TT Rounds,AMMO,10,255,,0,,2,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,Пистолетные патроны для ТТ,11,0,0,0,none
ammo_9mm,Патроны 9мм,9mm Rounds,AMMO,3,255,,0,,4,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,"Девятка для ПМ, самоделок и ППШ. Маленькая валюта оружейки и коридора",8,0,0,0,none
ammo_belt,Лента 7.62,7.62 Belt,AMMO,140,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,2,2,0,0,lathe,0,0,,,Пулемётная лента. Большой вес и большой расход,2500,0,0,0,none
ammo_coupon_9mm,Талон на 9мм,9mm coupon,MISC,45,6,6,350,OFFICE|HQ,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,6,ammo|document|official|single_use,ammo|coupon|document|official|single_use|weapon_permit,"Малый патронный талон. Гасится на десять девяток, если шкаф еще признает смену.",10,0,0,0,none
ammo_coupon_shells,Талон на дробь,Fraction coupon,MISC,62,4,4,250,OFFICE|HQ,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,6,ammo|document|official|single_use,ammo|coupon|document|official|single_use|weapon_permit,Бумага на короткую пачку дроби. Для коридора полезнее жалобы.,10,0,0,0,none
ammo_energy,Энергоячейка,Energy Cell,AMMO,300,255,,0,,1,None,,,,,,,,,,None,,,,,,0,2,0,0,2,2,0,0,net_terminal,0,0,,,"Энергоячейка для плазмы, гаусса и БФГ. Это дорогой патрон, а не музейный экспонат.",120,0,0,0,none
ammo_fuel,Канистра бензина,Gasoline Can,AMMO,70,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,2,2,0,0,lathe,0,0,,,Дефицитное топливо для огнемёта,1200,0,0,0,none
ammo_harpoon,Гарпуны,Harpoons,AMMO,60,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,1,2,0,0,lathe,0,0,,,Тяжелые редкие гарпуны для водных ходов,350,0,0,0,none
ammo_issue_order,Ордер на выдачу патронов,Ammo Issue Order,MISC,72,1,,1000,OFFICE|HQ,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,4,ammo|document|single_use,ammo|document|single_use|weapon_permit,Одноразовый ордер на десять патронов 9мм. После погашения остается только запись в шкафу.,20,0,0,0,none
ammo_nagant,Патроны Наган,Nagant Rounds,AMMO,12,255,,0,,1,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,Старые револьверные патроны,12,0,0,0,none
ammo_nails,Гвозди,Nails,AMMO,9,255,,0,,2,None,,,,,,,,,,None,,,,,,0,0,0,0,1,1,0,0,lathe,0,0,,,Промышленные гвозди для гвоздомёта,6,0,0,0,none
